"Date","NFORBRES"
1985-11-01,-0.292
1985-12-01,0.245
1986-01-01,0.81
1986-02-01,0.622
1986-03-01,0.64
1986-04-01,0.514
1986-05-01,0.587
1986-06-01,0.648
1986-07-01,0.51
1986-08-01,0.334
1986-09-01,0.252
1986-10-01,0.374
1986-11-01,0.568
1986-12-01,0.65
1987-01-01,0.716
1987-02-01,0.92
1987-03-01,0.658
1987-04-01,0.134
1987-05-01,0.321
1987-06-01,0.731
1987-07-01,0.381
1987-08-01,0.537
1987-09-01,0.254
1987-10-01,0.596
1987-11-01,0.709
1987-12-01,0.726
1988-01-01,0.542
1988-02-01,0.947
1988-03-01,0.671
1988-04-01,0.516
1988-05-01,0.576
1988-06-01,0.367
1988-07-01,-0.011
1988-08-01,0.382
1988-09-01,0.237
1988-10-01,0.535
1988-11-01,0.635
1988-12-01,0.59
1989-01-01,0.533
1989-02-01,0.718
1989-03-01,0.44
1989-04-01,0.232
1989-05-01,0.52
1989-06-01,0.336
1989-07-01,0.395
1989-08-01,0.258
1989-09-01,0.274
1989-10-01,0.506
1989-11-01,0.621
1989-12-01,0.697
1990-01-01,0.629
1990-02-01,0.088
1990-03-01,0.708
1990-04-01,0.647
1990-05-01,0.494
1990-06-01,0.253
1990-07-01,0.392
1990-08-01,0.076
1990-09-01,0.296
1990-10-01,0.449
1990-11-01,0.723
1990-12-01,1.362
1991-01-01,1.633
1991-02-01,1.587
1991-03-01,0.994
1991-04-01,0.884
1991-05-01,0.82
1991-06-01,0.664
1991-07-01,0.344
1991-08-01,0.621
1991-09-01,0.591
1991-10-01,0.808
1991-11-01,0.786
1991-12-01,0.799
1992-01-01,0.761
1992-02-01,0.971
1992-03-01,0.937
1992-04-01,1.046
1992-05-01,0.849
1992-06-01,0.695
1992-07-01,0.692
1992-08-01,0.69
1992-09-01,0.728
1992-10-01,0.92
1992-11-01,0.939
1992-12-01,1.032
1993-01-01,1.098
1993-02-01,1.048
1993-03-01,1.142
1993-04-01,1.03
1993-05-01,0.878
1993-06-01,0.715
1993-07-01,0.824
1993-08-01,0.601
1993-09-01,0.659
1993-10-01,0.793
1993-11-01,1.031
1993-12-01,0.988
1994-01-01,1.387
1994-02-01,1.079
1994-03-01,0.929
1994-04-01,1.018
1994-05-01,0.67
1994-06-01,0.784
1994-07-01,0.659
1994-08-01,0.541
1994-09-01,0.562
1994-10-01,0.418
1994-11-01,0.748
1994-12-01,0.962
1995-01-01,1.201
1995-02-01,0.911
1995-03-01,0.755
1995-04-01,0.647
1995-05-01,0.724
1995-06-01,0.712
1995-07-01,0.736
1995-08-01,0.725
1995-09-01,0.694
1995-10-01,0.835
1995-11-01,0.742
1995-12-01,1.034
1996-01-01,1.43
1996-02-01,0.826
1996-03-01,1.121
1996-04-01,1.036
1996-05-01,0.784
1996-06-01,0.729
1996-07-01,0.654
1996-08-01,0.627
1996-09-01,0.683
1996-10-01,0.721
1996-11-01,0.842
1996-12-01,1.264
1997-01-01,1.183
1997-02-01,0.993
1997-03-01,1.013
1997-04-01,0.754
1997-05-01,1.04
1997-06-01,0.977
1997-07-01,0.829
1997-08-01,0.662
1997-09-01,0.859
1997-10-01,1.146
1997-11-01,1.516
1997-12-01,1.363
1998-01-01,1.555
1998-02-01,1.477
1998-03-01,1.31
1998-04-01,1.319
1998-05-01,1.138
1998-06-01,1.368
1998-07-01,1.117
1998-08-01,1.262
1998-09-01,1.447
1998-10-01,1.402
1998-11-01,1.528
1998-12-01,1.396
1999-01-01,1.284
1999-02-01,1.078
1999-03-01,1.204
1999-04-01,0.989
1999-05-01,1.094
1999-06-01,1.153
1999-07-01,0.655
1999-08-01,0.818
1999-09-01,0.876
1999-10-01,0.867
1999-11-01,1.093
1999-12-01,0.975
2000-01-01,1.64
2000-02-01,1.005
2000-03-01,1.029
2000-04-01,0.863
2000-05-01,0.609
2000-06-01,0.636
2000-07-01,0.573
2000-08-01,0.475
2000-09-01,0.669
2000-10-01,0.73
2000-11-01,0.92
2000-12-01,1.116
2001-01-01,1.191
2001-02-01,1.294
2001-03-01,1.193
2001-04-01,1.207
2001-05-01,0.806
2001-06-01,1.02
2001-07-01,1.119
2001-08-01,1.02
2001-09-01,15.63
2001-10-01,1.2
2001-11-01,1.355
2001-12-01,1.576
2002-01-01,1.356
2002-02-01,1.343
2002-03-01,1.324
2002-04-01,1.134
2002-05-01,1.147
2002-06-01,1.096
2002-07-01,1.186
2002-08-01,1.274
2002-09-01,1.255
2002-10-01,1.39
2002-11-01,1.366
2002-12-01,1.928
2003-01-01,1.681
2003-02-01,1.939
2003-03-01,1.607
2003-04-01,1.51
2003-05-01,1.562
2003-06-01,1.879
2003-07-01,1.804
2003-08-01,3.45
2003-09-01,1.327
2003-10-01,1.36
2003-11-01,1.415
2003-12-01,1.001
2004-01-01,0.782
2004-02-01,1.15
2004-03-01,1.756
2004-04-01,1.719
2004-05-01,1.572
2004-06-01,1.751
2004-07-01,1.476
2004-08-01,1.33
2004-09-01,1.319
2004-10-01,1.577
2004-11-01,1.602
2004-12-01,1.845
2005-01-01,1.677
2005-02-01,1.447
2005-03-01,1.732
2005-04-01,1.532
2005-05-01,1.387
2005-06-01,1.49
2005-07-01,1.378
2005-08-01,1.261
2005-09-01,1.668
2005-10-01,1.628
2005-11-01,1.655
2005-12-01,1.731
2006-01-01,1.466
2006-02-01,1.499
2006-03-01,1.338
2006-04-01,1.577
2006-05-01,1.623
2006-06-01,1.529
2006-07-01,1.203
2006-08-01,1.151
2006-09-01,1.357
2006-10-01,1.464
2006-11-01,1.529
2006-12-01,1.672
2007-01-01,1.334
2007-02-01,1.423
2007-03-01,1.569
2007-04-01,1.508
2007-05-01,1.352
2007-06-01,1.566
2007-07-01,1.372
2007-08-01,3.871
2007-09-01,0.166
2007-10-01,1.218
2007-11-01,1.328
2007-12-01,-2.032
2008-01-01,0.505
2008-02-01,1.457
2008-03-01,-16.395
2008-04-01,-33.672
2008-05-01,-26.523
2008-06-01,-18.983
2008-07-01,-13.644
2008-08-01,-16.202
2008-09-01,-80.774
2008-10-01,-136.345
2008-11-01,253.227
2008-12-01,552.131
2009-01-01,636.902
2009-02-01,498.408
2009-03-01,588.049
2009-04-01,709.381
2009-05-01,720.68
2009-06-01,627.567
2009-07-01,620.468
2009-08-01,659.266
2009-09-01,750.344
2009-10-01,885.242
2009-11-01,969.791
2009-12-01,987.804
2010-01-01,958.834
2010-02-01,1075.175
2010-03-01,1036.669
2010-04-01,971.369
2010-05-01,969.577
2010-06-01,965.242
2010-07-01,955.799
2010-08-01,959.475
2010-09-01,928.311
2010-10-01,925.018
2010-11-01,924.876
2010-12-01,961.15
2011-01-01,1004.219
2011-02-01,1168.068
2011-03-01,1342.265
2011-04-01,1434.105
2011-05-01,1497.343
2011-06-01,1575.482
2011-07-01,1605.722
2011-08-01,1571.51
2011-09-01,1539.403
2011-10-01,1533.927
2011-11-01,1487.428
2011-12-01,1492.68
2012-01-01,1510.837
2012-02-01,1552.187
2012-03-01,1502.263
2012-04-01,1479.312
2012-05-01,1451.274
2012-06-01,1452.261
2012-07-01,1478.791
2012-08-01,1474.479
2012-09-01,1407.475
2012-10-01,1416.809
2012-11-01,1434.252
2012-12-01,1457.956
2013-01-01,1518.894
2013-02-01,1616.323
2013-03-01,1697.76
2013-04-01,1768.434
2013-05-01,1862.936
