"Date","VAULTSUR"
1998-10-01,8166
1998-11-01,7796
1998-12-01,8112
1999-01-01,8350
1999-02-01,9550
1999-03-01,8510
1999-04-01,7749
1999-05-01,7779
1999-06-01,8758
1999-07-01,10063
1999-08-01,10620
1999-09-01,10777
1999-10-01,13081
1999-11-01,16134
1999-12-01,24233
2000-01-01,34957
2000-02-01,26748
2000-03-01,15719
2000-04-01,12948
2000-05-01,10747
2000-06-01,11808
2000-07-01,12395
2000-08-01,12798
2000-09-01,12525
2000-10-01,13219
2000-11-01,13038
2000-12-01,13795
2001-01-01,15012
2001-02-01,15770
2001-03-01,13142
2001-04-01,11952
2001-05-01,11492
2001-06-01,11992
2001-07-01,12299
2001-08-01,11922
2001-09-01,11510
2001-10-01,12480
2001-11-01,11830
2001-12-01,11890
2002-01-01,11957
2002-02-01,12435
2002-03-01,11418
2002-04-01,10787
2002-05-01,10714
2002-06-01,10974
2002-07-01,11417
2002-08-01,11606
2002-09-01,12116
2002-10-01,13123
2002-11-01,12758
2002-12-01,13016
2003-01-01,13404
2003-02-01,13797
2003-03-01,12234
2003-04-01,11416
2003-05-01,11371
2003-06-01,11565
2003-07-01,11457
2003-08-01,11303
2003-09-01,11376
2003-10-01,12400
2003-11-01,12284
2003-12-01,12797
2004-01-01,13423
2004-02-01,14153
2004-03-01,12976
2004-04-01,11633
2004-05-01,11617
2004-06-01,11922
2004-07-01,11879
2004-08-01,12498
2004-09-01,12264
2004-10-01,13968
2004-11-01,13328
2004-12-01,13754
2005-01-01,12424
2005-02-01,14091
2005-03-01,13675
2005-04-01,12782
2005-05-01,12503
2005-06-01,12756
2005-07-01,13009
2005-08-01,15048
2005-09-01,14209
2005-10-01,16403
2005-11-01,15986
2005-12-01,17249
2006-01-01,16259
2006-02-01,18907
2006-03-01,16900
2006-04-01,15058
2006-05-01,14954
2006-06-01,15295
2006-07-01,15823
2006-08-01,17829
2006-09-01,17381
2006-10-01,18370
2006-11-01,17360
2006-12-01,18251
2007-01-01,18182
2007-02-01,20337
2007-03-01,18097
2007-04-01,16666
2007-05-01,15897
2007-06-01,16418
2007-07-01,17779
2007-08-01,19219
2007-09-01,17884
2007-10-01,18245
2007-11-01,17229
2007-12-01,19093
2008-01-01,18982
2008-02-01,20004
2008-03-01,18430
2008-04-01,16139
2008-05-01,14890
2008-06-01,15996
2008-07-01,16071
2008-08-01,17123
2008-09-01,17386
2008-10-01,17304
2008-11-01,17348
2008-12-01,18784
2009-01-01,16588
2009-02-01,17776
2009-03-01,15712
2009-04-01,14177
2009-05-01,13392
2009-06-01,14091
2009-07-01,13653
2009-08-01,13535
2009-09-01,13214
2009-10-01,13586
2009-11-01,13158
2009-12-01,14134
2010-01-01,13708
2010-02-01,14504
2010-03-01,14361
2010-04-01,12392
2010-05-01,11842
2010-06-01,12249
2010-07-01,12723
2010-08-01,12607
2010-09-01,11528
2010-10-01,12073
2010-11-01,12084
2010-12-01,12781
2011-01-01,11530
2011-02-01,11737
2011-03-01,11408
2011-04-01,11103
2011-05-01,11011
2011-06-01,11352
2011-07-01,11234
2011-08-01,10840
2011-09-01,9884
2011-10-01,10362
2011-11-01,10431
2011-12-01,11236
2012-01-01,10515
2012-02-01,10520
2012-03-01,10204
2012-04-01,9688
2012-05-01,9550
2012-06-01,9799
2012-07-01,9521
2012-08-01,9125
2012-09-01,9224
2012-10-01,10378
2012-11-01,10531
2012-12-01,10887
2013-01-01,9769
2013-02-01,10633
2013-03-01,10227
2013-04-01,10023
2013-05-01,10010
2013-06-01,9787
2013-07-01,9363
2013-08-01,9544
2013-09-01,9573
2013-10-01,10278
2013-11-01,10232
2013-12-01,10504
2014-01-01,9692
2014-02-01,10778
2014-03-01,10458
2014-04-01,10385
2014-05-01,9987
2014-06-01,9610
2014-07-01,9023
2014-08-01,9315
2014-09-01,9394
2014-10-01,9941
2014-11-01,9443
2014-12-01,9880
2015-01-01,9233
2015-02-01,10651
2015-03-01,10179
2015-04-01,9924
2015-05-01,9642
2015-06-01,9468
2015-07-01,9147
2015-08-01,9093
2015-09-01,9785
2015-10-01,10496
2015-11-01,9799
2015-12-01,10203
2016-01-01,9510
2016-02-01,11480
2016-03-01,10482
2016-04-01,10283
2016-05-01,9533
2016-06-01,9428
2016-07-01,9799
2016-08-01,10482
2016-09-01,10397
2016-10-01,10193
2016-11-01,9772
2016-12-01,10471
2017-01-01,10027
2017-02-01,11320
2017-03-01,10488
2017-04-01,10663
2017-05-01,9787
2017-06-01,9745
2017-07-01,9966
2017-08-01,11246
2017-09-01,10909
2017-10-01,11288
2017-11-01,10752
2017-12-01,11082
2018-01-01,10790
2018-02-01,12308
2018-03-01,11434
2018-04-01,10815
2018-05-01,9805
2018-06-01,10136
2018-07-01,10656
2018-08-01,11562
2018-09-01,10810
2018-10-01,10102
2018-11-01,11029
2018-12-01,12350
2019-01-01,12163
2019-02-01,12848
2019-03-01,12174
2019-04-01,11681
2019-05-01,10802
2019-06-01,10654
2019-07-01,11420
2019-08-01,12483
2019-09-01,11516
2019-10-01,11037
2019-11-01,11040
2019-12-01,11914
2020-01-01,11381
2020-02-01,10781
2020-03-01,22892
2020-04-01,88104
2020-05-01,101345
2020-06-01,104201
2020-07-01,98392
2020-08-01,95327
